WellName,CorpID,NettingValue,NettingDate,Update_Date,Update_User
Dorsett 6H,10409437-000,0.155,1970-01-01 00:00:00.000,2020-01-09 13:02:05.000,Travis Comer
Dorsett 6H,10409437-000,0.156,2019-01-01 00:00:00.000,2020-01-15 08:47:48.000,Travis Comer
Davis F 3 H,10971788-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Glaspie 10,10979286-000,0.1942807,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Findley B 5 H,11540695-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Frank White 1,11970805-000,0.1510776,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Rosa Corbin 1,11971111-000,0.1510776,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Bozman 1,11971119-000,0.1510776,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Nicholson 3,11971128-000,0.1510776,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
McGee 1,11990525-003,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Findley B 1,11990594-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Findley A 3,11990601-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Highland Lake Club 1,11990623-004,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Slaughter B 1,11990630-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Britton 1,11990631-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Davis A 1,11990634-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Pope 2,11992490-002,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Caldwell 1,11992525-001,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Jones 3,11992549-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Owens 3,11992581-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Slaughter B 2,11992599-003,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Hordern A 2,11992631-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Lewis B 2,11992667-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Nesbitt Stroud 1,11992719-002,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Young B 1,11992732-001,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Kathleen Resch 1,11992738-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Brewster 1,11992758-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Woods 2,11992763-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Brune Burnett B 1,11992781-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Findley B 2,11992790-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Mary Roden 1,11992792-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
T W George B 1,11992794-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Knackstedt 1,11992808-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Becker 1,11992813-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Chapman B 1,11992824-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Thompson 1,11992844-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Patterson Herrin 1,11992845-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Britton 3 L,11992860-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Britton 3 U,11992860-003,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Bath A 1,11992864-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Katherine Brown 1,11992865-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Bath B 1,11992872-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Maude Brown 1,11992878-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Runnels 1,11992879-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Washington 1,11992884-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Roscoe 1,11992885-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Griffis 2,11992900-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Rosborough 1,11992903-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Ware A 1,11992912-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Caldwell 2,11992916-004,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Amis 1,11992928-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Justice 1,11992937-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Coats 1,11992940-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Greer 1,11992944-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Frank Davis 1,11992945-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Davis F 1,11992946-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Allen 1,11992949-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Nancy Brewster 1,11992950-002,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Dorsett 1,11992952-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
McGee B 1,11992956-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Chauvin Landry 1,11992962-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Jackson 1,11992963-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Dudeck Heirs 1,11992986-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Wyatt 1,11993012-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Peggy Pierce 1,11993022-003,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Thompson B 1,11993025-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Jones 4 AM,11993040-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Harris B 1,11993042-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Pope 3,11993062-003,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Lee A 3,11993071-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Allen 2,11993181-003,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Pope 4,11993289-003,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Caldwell 4,11993293-004,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Britton 4,11993298-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Maude Brown 2,11993762-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Vann 2,11993764-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Lee A 4,11993771-000,0.1720316,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Mary Roden 2,11993778-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Thompson B 2,11993779-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
T W George B 2,11993781-002,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Bath A 2,11993782-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Bath B 2,11993783-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Runnels 2,11993786-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
Nancy Brewster 2,11993788-000,0.1733621,1970-01-01 00:00:00.000,2019-09-09 14:49:54.000,Travis Comer
