LEName,WellName,CorpID,ForecastGeneratedFrom,Wedge,LE_Date,Update_Date,Update_User
ProductionForecast_Getulio,Nelson Hay 1 H,13071342-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:54:25.000,Travis Comer
ProductionForecast_Getulio,Aclco Hay 1 H,13387002-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:53:05.000,Travis Comer
ProductionForecast_Getulio,Aclco Hay 2 1 H,13763119-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:53:12.000,Travis Comer
ProductionForecast_Getulio,Sarge 1 H R,13860389-001,,Base,2020-02-01 00:00:00.000,2020-02-11 13:54:42.000,Travis Comer
ProductionForecast_Getulio,Wombat 1 H,14248578-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:55:14.000,Travis Comer
ProductionForecast_Getulio,Wombat 2 H,14248579-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:55:21.000,Travis Comer
ProductionForecast_Getulio,Bandicoot 2 H,14258600-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:55:43.000,Travis Comer
ProductionForecast_Getulio,Bandicoot 1 H B,14269983-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:55:36.000,Travis Comer
ProductionForecast_Getulio,Trex 1 H,14295238-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:54:59.000,Travis Comer
ProductionForecast_Getulio,Walker 1 H,14295819-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:57:13.000,Travis Comer
ProductionForecast_Getulio,Dino 1 H,14303813-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:55:51.000,Travis Comer
ProductionForecast_Getulio,Wallaby 2 H,14309276-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:57:26.000,Travis Comer
ProductionForecast_Getulio,Wallaby 1 H,14309562-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:57:19.000,Travis Comer
ProductionForecast_Getulio,Taz 2 H,14312669-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:56:42.000,Travis Comer
ProductionForecast_Getulio,Taz 5 H B,14313648-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:58:40.000,Travis Comer
ProductionForecast_Getulio,Taz 4 H B,14313869-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:56:54.000,Travis Comer
ProductionForecast_Getulio,Koala 3 H,14313988-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:57:50.000,Travis Comer
ProductionForecast_Getulio,Taz 1 H,14316545-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:56:34.000,Travis Comer
ProductionForecast_Getulio,Taz 3 H,14319343-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:56:48.000,Travis Comer
ProductionForecast_Getulio,Saber 1 H,14319899-001,,Base,2020-02-01 00:00:00.000,2020-02-11 13:56:20.000,Travis Comer
ProductionForecast_Getulio,Saber 1 H B,14319900-001,,Base,2020-02-01 00:00:00.000,2020-02-11 13:56:27.000,Travis Comer
ProductionForecast_Getulio,Utahraptor 1 H,14322612-001,,Base,2020-02-01 00:00:00.000,2020-02-11 13:57:00.000,Travis Comer
ProductionForecast_Getulio,Utahraptor 1 H B,14322613-001,,Base,2020-02-01 00:00:00.000,2020-02-11 13:57:07.000,Travis Comer
ProductionForecast_Getulio,Koala 5 H,14322672-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:55:58.000,Travis Comer
ProductionForecast_Getulio,Callisto 1 H,14325314-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:57:32.000,Travis Comer
ProductionForecast_Getulio,Pluto 1 H,14326646-001,,Base,2020-02-01 00:00:00.000,2020-02-11 13:56:05.000,Travis Comer
ProductionForecast_Getulio,Pluto 1 H B,14326647-001,,Base,2020-02-01 00:00:00.000,2020-02-11 13:56:12.000,Travis Comer
ProductionForecast_Getulio,Gasosaurus 1 H,14340136-001,,Base,2020-02-01 00:00:00.000,2020-02-11 13:57:44.000,Travis Comer
ProductionForecast_Getulio,Sugar Glider 1 H B,14340216-001,,Base,2020-02-01 00:00:00.000,2020-02-11 13:58:34.000,Travis Comer
ProductionForecast_Getulio,Sugar Glider 1 H,14340217-001,,Base,2020-02-01 00:00:00.000,2020-02-11 13:58:27.000,Travis Comer
ProductionForecast_Getulio,Rockies 1 H,14354532-002,,Base,2020-02-01 00:00:00.000,2020-02-11 13:58:15.000,Travis Comer
ProductionForecast_Getulio,Wallaby 4 H B,14364160-000,,2019 NWD,2020-02-01 00:00:00.000,2020-02-11 13:59:59.000,Travis Comer
ProductionForecast_Getulio,Koala 3 H B,14365559-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:57:56.000,Travis Comer
ProductionForecast_Getulio,Trex 2 H,14365684-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:58:53.000,Travis Comer
ProductionForecast_Getulio,Trex 2 H B,14365685-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:58:59.000,Travis Comer
ProductionForecast_Getulio,Koala 6 H B,14367479-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:58:03.000,Travis Comer
ProductionForecast_Getulio,Wallaby 3 H,14367849-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:59:27.000,Travis Comer
ProductionForecast_Getulio,Wallaby 3 H B,14368525-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:59:34.000,Travis Comer
ProductionForecast_Getulio,Velo 1 H,14374279-001,,Base,2020-02-01 00:00:00.000,2020-02-11 13:59:14.000,Travis Comer
ProductionForecast_Getulio,Titan 2 H R,14374999-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:58:47.000,Travis Comer
ProductionForecast_Getulio,Velo 1 H B,14376193-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:59:20.000,Travis Comer
ProductionForecast_Getulio,Stego 1 H,14376194-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:58:21.000,Travis Comer
ProductionForecast_Getulio,Kanga 2 H,14376244-000,,2019 NWD,2020-02-01 00:00:00.000,2020-02-11 13:59:46.000,Travis Comer
ProductionForecast_Getulio,Kanga 2 H B,14376245-000,,2019 NWD,2020-02-01 00:00:00.000,2020-02-11 13:59:53.000,Travis Comer
ProductionForecast_Getulio,Mississippi 1 H,14376246-000,,2019 NWD,2020-02-01 00:00:00.000,2020-02-11 14:01:08.000,Travis Comer
ProductionForecast_Getulio,Proteus 1 H,14379956-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:58:09.000,Travis Comer
ProductionForecast_Getulio,Koala 2 H,14379960-000,,2019 NWD,2020-02-01 00:00:00.000,2020-02-11 14:01:14.000,Travis Comer
ProductionForecast_Getulio,Wombat 3 H B,14381121-000,,2019 NWD,2020-02-01 00:00:00.000,2020-02-11 14:00:30.000,Travis Comer
ProductionForecast_Getulio,Trex 3 H B,14381815-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:59:08.000,Travis Comer
ProductionForecast_Getulio,Dracorex 2 H,14384752-000,,Base,2020-02-01 00:00:00.000,2020-02-11 13:57:38.000,Travis Comer
ProductionForecast_Getulio,Dracorex 2 H B,14384753-000,,2019 NWD,2020-02-01 00:00:00.000,2020-02-11 13:59:40.000,Travis Comer
ProductionForecast_Getulio,Sugar Glider 2 H,14385259-000,,2019 NWD,2020-02-01 00:00:00.000,2020-02-11 14:00:18.000,Travis Comer
ProductionForecast_Getulio,Sugar Glider 2 H B,14385419-000,,2019 NWD,2020-02-01 00:00:00.000,2020-02-11 14:00:24.000,Travis Comer
ProductionForecast_Getulio,Titan 2 H B,14396384-000,,2019 NWD,2020-02-01 00:00:00.000,2020-02-11 14:00:05.000,Travis Comer
