WellName,CorpID,ForecastName,GFOz,GFOzYear,Aries_ScenarioID,DCA_b,DCA_Di,DCA_qi,Update_Date,Update_User
Wallaby 4 H B,14364160-000,Aries_GFOz,1,2019-01-01 00:00:00.000,JA_HV,0,0,0,2019-09-20 10:50:30.000,Travis Comer
Kanga 2 H,14376244-000,Aries_GFOz,1,2019-01-01 00:00:00.000,JA_HV,0,0,0,2019-09-20 10:51:48.000,Travis Comer
Kanga 2 H B,14376245-000,Aries_GFOz,1,2019-01-01 00:00:00.000,JA_HV,0,0,0,2019-09-20 10:48:23.000,Travis Comer
Dracorex 2 H B,14384753-000,Aries_GFOz,1,2019-01-01 00:00:00.000,JA_HV,0,0,0,2019-09-20 10:49:14.000,Travis Comer
Sugar Glider 2 H,14385259-000,Aries_GFOz,1,2019-01-01 00:00:00.000,JA_HV,0,0,0,2019-09-20 10:49:39.000,Travis Comer
Sugar Glider 2 H B,14385419-000,Aries_GFOz,1,2019-01-01 00:00:00.000,JA_HV,0,0,0,2019-09-20 10:47:57.000,Travis Comer
Titan 2 H B,14396384-000,Aries_GFOz,1,2019-01-01 00:00:00.000,JA_HV,0,0,0,2019-09-20 10:48:48.000,Travis Comer
Allosaurus 3 H,14402359-000,Aries_GFOz,1,2019-01-01 00:00:00.000,JA_HV,0,0,0,2019-09-20 10:50:56.000,Travis Comer
Allosaurus 3 H B,14402559-000,Aries_GFOz,1,2019-01-01 00:00:00.000,JA_HV,0,0,0,2019-09-20 10:47:32.000,Travis Comer
Denali 3 H B,14404208-000,Aries_GFOz,1,2019-01-01 00:00:00.000,JA_HV,0,0,0,2019-09-20 10:50:05.000,Travis Comer
TTops 2 H,14404359-000,Aries_GFOz,1,2019-01-01 00:00:00.000,JA_HV,0,0,0,2019-09-20 10:47:06.000,Travis Comer
Rockies 4 H B,14406376-000,Aries_GFOz,1,2019-01-01 00:00:00.000,JA_HV,0,0,0,2019-09-20 10:51:22.000,Travis Comer
Nelson Hay 1 H,13071342-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:10:06.000,Travis Comer
Aclco Hay 1 H,13387002-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:08:36.000,Travis Comer
Aclco Hay 2 1 H,13763119-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:08:44.000,Travis Comer
Sarge 1 H R,13860389-001,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:10:22.000,Travis Comer
Wombat 1 H,14248578-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:10:54.000,Travis Comer
Wombat 2 H,14248579-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:11:03.000,Travis Comer
Bandicoot 2 H,14258600-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:11:27.000,Travis Comer
Bandicoot 1 H B,14269983-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:11:19.000,Travis Comer
Trex 1 H,14295238-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:10:38.000,Travis Comer
Walker 1 H,14295819-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:13:11.000,Travis Comer
Dino 1 H,14303813-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:11:36.000,Travis Comer
Wallaby 2 H,14309276-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:13:27.000,Travis Comer
Wallaby 1 H,14309562-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:13:19.000,Travis Comer
Taz 2 H,14312669-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:12:31.000,Travis Comer
Taz 5 H B,14313648-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:15:02.000,Travis Comer
Taz 4 H B,14313869-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:12:47.000,Travis Comer
Koala 3 H,14313988-000,Test Upload From Excel,0,2020-01-01 00:00:00.000,,0,0,0,2020-01-13 16:13:59.000,Travis Comer
